Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2013.10742188,2025-09-15,2025-09-16
2,Arsenal,ENG,1,2000.4029541,2025-09-14,2025-09-16
3,Paris SG,FRA,1,1981.32214355,2025-09-15,2025-09-16
4,Barcelona,ESP,1,1951.6817627,2025-09-15,2025-09-16
5,Real Madrid,ESP,1,1946.9786377,2025-09-14,2025-09-16
6,Man City,ENG,1,1945.47961426,2025-09-15,2025-09-16
7,Bayern,GER,1,1931.81689453,2025-09-14,2025-09-16
8,Chelsea,ENG,1,1913.25292969,2025-09-14,2025-09-16
9,Inter,ITA,1,1912.99475098,2025-09-14,2025-09-16
10,Newcastle,ENG,1,1865.4876709,2025-09-14,2025-09-16
11,Napoli,ITA,1,1855.81982422,2025-09-14,2025-09-16
12,Crystal Palace,ENG,1,1846.80407715,2025-09-14,2025-09-16
13,Aston Villa,ENG,1,1845.84533691,2025-09-14,2025-09-16
14,Atletico,ESP,1,1840.4453125,2025-09-14,2025-09-16
15,Leverkusen,GER,1,1839.78527832,2025-09-14,2025-09-16
16,Atalanta,ITA,1,1833.8692627,2025-09-15,2025-09-16
17,Juventus,ITA,1,1825.78845215,2025-09-15,2025-09-16
18,Bournemouth,ENG,1,1825.15612793,2025-09-15,2025-09-16
19,Dortmund,GER,1,1823.70544434,2025-09-15,2025-09-16
20,Brighton,ENG,1,1816.60290527,2025-09-15,2025-09-16
21,Roma,ITA,1,1815.7421875,2025-09-15,2025-09-16
22,Benfica,POR,1,1812.5456543,2025-09-13,2025-09-16
23,Tottenham,ENG,1,1807.21606445,2025-09-14,2025-09-16
24,Everton,ENG,1,1803.90893555,2025-09-14,2025-09-16
25,Lille,FRA,1,1799.8729248,2025-09-15,2025-09-16
26,Brentford,ENG,1,1799.19226074,2025-09-14,2025-09-16
27,Sporting,POR,1,1796.3939209,2025-09-14,2025-09-16
28,Man United,ENG,1,1794.9630127,2025-09-15,2025-09-16
29,Bilbao,ESP,1,1791.59594727,2025-09-14,2025-09-16
30,PSV,NED,1,1790.37426758,2025-09-14,2025-09-16
31,Forest,ENG,1,1790.10888672,2025-09-14,2025-09-16
32,Villarreal,ESP,1,1786.67089844,2025-09-14,2025-09-16
33,Milan,ITA,1,1785.66088867,2025-09-15,2025-09-16
34,Fulham,ENG,1,1783.6673584,2025-09-15,2025-09-16
35,Monaco,FRA,1,1767.64929199,2025-09-14,2025-09-16
36,Frankfurt,GER,1,1756.02539062,2025-09-15,2025-09-16
37,Lazio,ITA,1,1752.30285645,2025-09-15,2025-09-16
