Code,Association,Note
ALB,Albania,
AND,Andorra,
ARM,Armenia,
AUT,Austria,
AZE,Azerbaijan,
BEL,Belgium,
BIH,Bosnia and Herzegovina,
BLR,Belarus,
BUL,Bulgaria,
CRO,Croatia,
CYP,Cyprus,
CZE,Czechia,
DEN,Denmark,
ENG,England,
ESP,Spain,
EST,Estonia,
FIN,Finland,
FRA,France,
FRO,Faroe Islands,
GEO,Georgia,
GER,Germany,
GIB,Gibraltar,
GRE,Greece,
HUN,Hungary,
IRL,Republic of Ireland,
ISL,Iceland,
ISR,Israel,
ITA,Italy,
KAZ,Kazakhstan,
KOS,Kosovo,
LTU,Lithuania,
LUX,Luxembourg,
LVA,Latvia,
MDA,Moldova,
MKD,North Macedonia,
MLT,Malta,
MNE,Montenegro,
NED,Netherlands,
NIR,Northern Ireland,
NOR,Norway,
POL,Poland,
POR,Portugal,
ROU,Romania,
RUS,Russia,Member association; clubs suspended from UEFA comps 2025/26
SCO,Scotland,
SMR,San Marino,
SRB,Serbia,
SUI,Switzerland,
SVK,Slovakia,
SVN,Slovenia,
SWE,Sweden,
TUR,Türkiye (Turkey),
UKR,Ukraine,
WAL,Wales,
